k,l,iter,m_start,m_end,m_avg,Q_updates,time_RMP_s,time_s
2, 299, 16204, 299, 299, 298.98, 0, 3677.03, 7200.00
2, 149, 7617, 149, 279, 156.59, 81, 172.62, 2108.85
2, 74, 7811, 75, 274, 172.32, 87, 92.06, 1273.93
2, 2, 3878, 2, 250, 154.37, 116, 17.45, 565.93
3, 299, 20100, 299, 299, 299.00, 0, 1677.23, 4596.03
3, 149, 5682, 149, 285, 173.35, 69, 44.81, 832.01
3, 74, 7008, 75, 288, 163.59, 102, 66.46, 903.76
3, 3, 5501, 3, 267, 177.38, 109, 47.15, 689.43
4, 299, 16745, 299, 299, 299.00, 0, 821.31, 2688.85
4, 149, 7024, 149, 291, 182.85, 69, 77.32, 904.71
4, 74, 4921, 78, 282, 163.20, 103, 31.50, 556.38
4, 4, 4183, 4, 272, 175.62, 125, 29.00, 454.41
5, 299, 19277, 299, 299, 299.00, 0, 1117.98, 2891.24
5, 149, 4382, 151, 288, 183.80, 76, 22.71, 379.86
5, 74, 3476, 82, 280, 161.84, 98, 12.54, 287.29
5, 5, 3336, 5, 252, 139.84, 125, 9.54, 266.00
6, 299, 12113, 299, 299, 299.00, 0, 405.30, 1270.82
6, 149, 2650, 153, 279, 175.45, 79, 8.01, 198.43
6, 74, 2002, 86, 270, 165.83, 111, 3.45, 119.60
6, 6, 1751, 6, 260, 143.60, 154, 2.31, 105.36